USE_LICENSE_URL,GUID,SCIENTIFIC_NAME,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,COORDINATEUNCERTAINTYINMETERS
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:46793","Hydromantes platycephalus","United States","California","head of Lyell Canyon, near Donohue Pass Trail, Yosemite National Park","6 Jul 1948","37.7643612","-119.2509177","655"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:5693","Hydromantes platycephalus","United States","California","head of Lyell Canyon, Yosemite National Park","18 Jul 1915","37.74925","-119.27166","499"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:5694","Hydromantes platycephalus","United States","California","head of Lyell Canyon, Yosemite National Park","18 Jul 1915","37.74925","-119.27166","499"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:16071","Hydromantes platycephalus","United States","California","Yosemite National Park","5 Jun 1933","37.850569","-119.567452","38624"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:21807","Hydromantes platycephalus","United States","California","Silliman Gap, Sequoia National Park","26 Jun 1935","36.661461","-118.705754","30"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26174","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26175","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26176","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26177","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26178","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26179","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26180","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26181","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26182","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26183","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26184","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26185","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26186","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:26187","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","26 Jun 1938","37.746054","-119.532202","274"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:32221","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","14 May 1939","37.746054","-119.532202","244"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:32222","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","14 May 1939","37.746054","-119.532202","244"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:32223","Hydromantes platycephalus","United States","California","top of Half Dome, Yosemite National Park","14 May 1939","37.746054","-119.532202","244"
"http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0","MVZ:Herp:35050","Hydromantes platycephalus","United States","California","Top of Bald Mt.","14 Jun 1941","37.102894","-119.205306","30"
